id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
lt17,"Berlin, Staatsbibliothek, Ms. theol. lat. oct. 176",1460,Benediktiner,"Berlin, Staatsbibliothek",Theologische Sammelhandschrift,2./3. Viertel 15. Jh.,"Bursfeld, Benediktiner","22v–23r: V, 16","MH-Abschnitt auch in Wolfenbüttel, Cod. 422 Helmst.",–,http://www.manuscripta-mediaevalia.de/#|6,–,,,,9.62440,51.54150
lt18,"Berlin, Staatsbibliothek, Ms. theol. lat. qu. 324/1",1505,Kartäuser,"Berlin, Staatsbibliothek","Heinrich Arnoldi von Alfeld, Liber meditationum et 
orationum",1505,Kartause Buxheim,"217r–218r: I, 46",,–,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0009_a121_jpg.htm,–,–,,,10.13400,48.00000
lt19,"Bonn, Universitätsbibliothek, Cod. S 301",1480,Zisterzienser,"Bonn, Universitätsbibliothek",MH als Einzeltext,1486/1500,"St. Maria in Sion, Köln, Zisterzienserinnen",Buch I-V (gekürzt),,–,http://www.manuscripta-mediaevalia.de/dokumente/html/sigrefsBonn|||Universitäts- und Landesbibliothek Bonn|||S 301,–,–,,,6.96170,50.92800
lt20,"Bonn, Universitätsbibliothek, Cod. S 361",1450,Augustiner,"Bonn, Universitätsbibliothek","Theologische Sammelhandschrift, Gebete",Mitte 15. Jh.,"Niederwerth, Augustiner-Chorherrenstift","226ra–245ra: I, la, 12, 13, 14, 5b, c, d, 7, 8b, 
10a+b, 11, 12, 13a, 15, 16a, 18a, b, c, 
19a, e, 20, 22a+b, 23, 24; IV, 60; III, 1;
I, 25b, 26a, c, 34a, 29, 30, 38, 31a, 
34b+c; III, 39; I, 35, 37, 42, 43, 44, 47; 
II, 1, 2, 3, 10, 17, 21, 22, 25, 29a, 33, 34b, 
40, 41; III, 2, 4 , 6a+b, 8, 10, 14, 16, 17, 18, 
19, 20, 21, 22, 23a, 24, 25, 26, 27, 29, 31, 
32, 33, 36, 34, 35, 44, 45, 46, 48, 50, 51; 
IV 1, 5,7, 9, 16, 17, 23, 25, 26, 28, 30, 33, 
36, 37, 38, 45, 47, 51, 52, 53, 58, 28, 54, 
56, 58, 59a-d V, 1, 16, 17, 18a, 27; IV, 15; 
V, 18b, 19, 23, 30; III, 52; IV, 6; V, 20",,–,http://www.manuscripta-mediaevalia.de/#|6,–,–,,,7.61340,50.39270
lt21,"Brüssel, Bibliothèque Royale, Ms. 1507/9",1405,Kartäuser,"Brüssel, Bibliothèque Royale",Sammelhandschrift; Kartäuserpredigten,15. Jh.,"Kartause St. Martin bei Geraardsbergen 
(„Grammont“), Flandern","171ra-174vb: I, 18a (Abschnitt); zwischendrin 
Text nicht von MH",,http://handschriftencensus.de/16444,https://archive.org/stream/cataloguedesman08manugoog#page/n250/mode/2up,–,–,,,3.82240,50.80400
lt22,"Brüssel, Bibliothèque Royale, Ms. 5004/8",1405,Unbekannt,"Brüssel, Bibliothèque Royale","Sammelhandschrift, v.a. Bonaventura, Augustinus",15. Jh.,–,"159r-v: I, 18c (Ezerpt)",,–,–,–,–,,200.00,4.14584,50.95150
lt23,"Brüssel, Bibliothèque Royale, Ms. 9320/4",1430,Unbekannt,"Brüssel, Bibliothèque Royale",Sammelhandschrift (?),1432,–,"1v: V, 19 (Exzerpt)",Schreiber Jacobi Utenham,–,–,–,,,200.00,4.64584,50.25150
lt24,"Brüssel, Bibliothèque Royale, Ms. II 1168",1405,Kartäuser,"Brüssel, Bibliothèque Royale",Sammelhandschrift (?),15. Jh.,Kartause Köln,157r-193r (Exzerpte),,–,–,–,–,,,6.95550,50.92460
lt25,"Brüssel, Bibliothèque Royale, Ms. II 1561",1405,Unbekannt,"Brüssel, Bibliothèque Royale",Sammelhandschrift (?),15. Jh.,–,"5r-53v: I, 24 (5r), I, 31b (5v), I, 36 (6r), I, 37 (7r), I, 37 
(7v), I, 37 (7v), I, 38 (8r), I, 39 (8r), I, 41 (8v), I, 42 (8v), 
I, 43 (9r), I, 44 (9v), I, 45 (9v), I, 46 (11v), I, 2 (12r), I, 
31 (12r), I, 32 (12r), I, 41 (12v), I, 42 (12v), I, 5b (13v), 
I, 5a (14r), I, 5d (15v), I, 6a (16v), I, 6b (17r), I, 6c (17v), 
I, 7 (17v), I, 8b (18v), I, 9a (19v), I, 9b (20r), I, 10a (20v), 
I, 10c (21v), I, 14 (21v), I, 15 (22v), I, 16a (23r), I, 16b 
(23v), I, 17 (23v), I, 18ab (24v-26r), I, 18c (26r), I, 18d 
(29r), I, 18e (29v), I, 19a (29v), I, 19b (30r), I, 19c (30v), 
I, 19d (32r)",,–,"Bromberg, Richard L.: Het boek der bijzondere genade van Mechthild van Hackeborn, Zwolle 1967, 
S. 17",–,–,,200.00,4.36710,50.69150
lt26,"Budapest, Nationalbibliothek, Cod. Lat. 276",1460,Unbekannt,"Budapest, National Széchényi Library","Sammelhandschrift, darin Haimo-Apokalypse",1462/3,Augsburg (?),"254v: I, 18a, mit Schluss von 18b","laut Zieger auf f. 154v Randnotiz von „Leonhart 
Radamer und Vörich arztt“; 
1470 wird der Tod der Radamer-Tochter beklagt",–,–,–,,,5.00,10.88970,48.36650
lt27,"Cambrai, Bibliothèque Municipale, Cod. 844 (749)",1405,Zisterzienser,"Cambrai, Bibliothèque Municipale",Sammelhandschrift (auch Liutgard-Vita),Ende 15. Jh.,"Aywiers, Zisterzienserinnen (?)",29v-123v,"Geschenk der Äbtissin an einen ‚frater supprior‘; 
MH als Zisterzienserin; Schreiber nennt sich 
'Egidium Herdewiick'; dieser hat laut Explicit 
den Text im Jahr 1400 abgeschrieben",–,"Catalogue général des manuscrits des bibliothèques, Tom. XVII, S. 326f.",–,,,0.10,4.46990,50.66910
lt28,"Cambridge, Peterhouse, Ms. 276",1400,Kartäuser,"Cambridge, Peterhouse","Sammelhandschrift; Psalter, Gebete, 
geistliche Kurztexte",14./15. Jh.,"Coventry, Kartause St Anne (?)","6v-7r: V, 6 (1. Teil); I, 5d; IV. 23",,–,https://archive.org/stream/adescriptivecat00clargoog#page/n384/mode/2up,–,–,,,-1.49480,52.40110
lt29,"Charleville, Bibliothèque Municipale, Cod. 85b",1405,Unbekannt,"Charleville-Mézieres, Bibliothèque Municipale", MH als Einzeltext (?),15. Jh.,Flandern,9r-92r (I-V?),„Egidius de Wallebruna“ (professus montis dei),–,"Catalogue général des manuscrits des bibliothèques, Tom. V, S. 584f.",–,,,70.00,4.18180,51.03570
lt30,"Colmar, Bibliotheque Municipale, Hs. 27",1505,Sonstiges,"Colmar, Bibliothèque Municipale",Andachtsbuch,16. Jh.,"Isenheim (Elsaß), Antoniter ","111v: I, 47",,–,"Catalogue général des manuscrits des bibliothèques, Tom. LVI, S. 73",–,–,,,7.24990,47.90230
lt31,"Colmar, Bibliotheque Municipale, Hs. 250",1405,Dominikaner,"Colmar, Bibliothèque Municipale","Sammelhandschrift, v.a. Marienpredigten und 
Ps.-Bonaventura ",15. Jh.,"Guebwiller, Dominikaner",66v-67: Bestand unbekannt,,–,"Catalogue général des manuscrits des bibliothèques, Tom. LVI, S. 22",–,–,,,7.21410,47.90790
lt32,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 971",1520,Kartäuser,"Darmstadt, Universitäts- und Landesbibliothek",Flores ex revelationes Gertrudis et Mechthildis,1528,"St. Barbara, Köln","1r–25r, 27r–114r, 115r–178r: Verschiedene Gebete und 
Sentenzen des Liber thematisch neu zusammengestellt",,–,http://www.manuscripta-mediaevalia.de/#|6,–,–,,,6.95540,50.92460
lt33,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 1228",1470,Kartäuser,"Darmstadt, Universitäts- und Landesbibliothek","Gebetbuch; verschiedene Gebete und Andachte, 
auch Gerson, Birgitta etc.",ca. 1470,Kartause Wesel,"102r: V, 6 (1. Teil)",,–,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0014_b040_jpg.htm,–,–,,,6.45460,51.66300
lt34a,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 2242",1305,Unbekannt,"Darmstadt, Universitäts- und Landesbibliothek",Gebetbuch,14. Jh.,"wsl. Diözese Utrecht; später 
Kartause St. Barbara, Köln ","125r-127vb: Einleitung, I, 10b + c,11, 12","MH als Zisterzienserin bezeichnet; Trotz 
Exzerptüberlieferung Überblick über 
das gesamte Werk;
",http://handschriftencensus.de/7011,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0014_b027_jpg.htm,–,,,4.00,5.12000,52.08880
lt34b,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 2242",1405,Kartäuser,"Darmstadt, Universitäts- und Landesbibliothek",Gebetbuch,15. Jh,"wsl. Diözese Utrecht; später 
Kartause St. Barbara, Köln ","125r-127vb: Einleitung, I, 10b + c,11, 12","MH als Zisterzienserin bezeichnet; Trotz 
Exzerptüberlieferung Überblick über 
das gesamte Werk;
",http://handschriftencensus.de/7011,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0014_b027_jpg.htm,–,,,,6.95550,50.92460
lt35,"Dublin, Trinity College, Ms. 159",1475,Unbekannt,"Dublin, Trinity College","Sammelhandschrift, v.a. Richard Rolle",2. Hälfte 15. Jh.,England,"123, 132, 138, 144v: Exzerpte ",,–,"M. L. Colker, Trinity College Library Dublin: Descriptive Catalogue 
of the Mediaeval and Renaissance Latin Manuscripts, Aldershot 1991, S. 159.",–,–,,250.00,-0.96870,52.96580
lt36,"Dublin, Trinity College, Ms. 277",1470,Unbekannt,"Dublin, Trinity College","Sammelhandschrift, geistliche Kurztexte 
(Birgitta, Bonaventura, Seuse, etc.)",Mitte 15. Jh.,–,"S. 533: III, 26, 19",,–,"https://archive.org/stream/cataloguemanusc00abbogoog#page/n72/mode/2up;
M. L. Colker, Trinity College Library Dublin: Descriptive Catalogue 
of the Mediaeval and Renaissance Latin Manuscripts, Aldershot 1991, S. 529.",–,–,,200.00,-7.42280,53.51260
lt37,"Durham, Universitätsbibliothek, Cod. V.III.16",1405,Unbekannt,"Durham, University Library","Sammelhandschrift, Visionen",15. Jh.,–,175b-177b (?),,–,–,–,–,,150.00,-1.92960,54.41730
lt38,"Düsseldorf, Landes- und Staatsbibliothek, Ms. B 147",1475,Unbekannt,"Düsseldorf, Landes- und Staatsbibliothek","Johannes Gerson Thomas a Kempis, 
Hugo von St. Viktor u.a.",3. Viertel 15. Jh.,Niederrhein,"54r: I, 18",,–,"Agata Mazurek, Die mittelalterlichen Handschriften der Signaturengruppe B in der Universitäts- und 
Landesbibliothek Düsseldorf, Teil 2, Wiesbaden 2011, S. 179–191.",–,–,,40.00,6.55720,51.35270
lt39,"Düsseldorf, Landes- und Staatsbibliothek, Ms. B 156",1505,Unbekannt,"Düsseldorf, Landes- und Staatsbibliothek","Wilhelm von St. Thierry Bernhard von Clairvaux, 
Thomas a Kempis u.a.",um 1505,Niederrhein (?),"100r: I, 17",,–,"Agata Mazurek, Die mittelalterlichen Handschriften der Signaturengruppe B in der Universitäts- und 
Landesbibliothek Düsseldorf, Teil 2, Wiesbaden 2011, S. 203–210.",–,–,,40.00,6.55720,51.35270
lt40,"Düsseldorf, Landes- und Staatsbibliothek, Ms. B 193",1470,Kreuzherren,"Düsseldorf, Landes- und Staatsbibliothek",Theol. Sammelhandschrift,1489,"Marienfrede, Kreuzherrenkonvent",112va-230ra: I-V,"MH als Zisterzienserin; Schreiber Lambertus de 
Xanctis; enger Bezug zu den Kölner Hss. aus 
dem Kreuzherrenkonvent",–,http://digital.ub.uni-duesseldorf.de/ihd/content/pageview/4041846,http://digital.ub.uni-duesseldorf.de/ms/content/titleinfo/8868657,,,,6.59160,51.77170
lt41a,"Düsseldorf, Landes- und Staatsbibliothek, Ms. C 67",1530,Kreuzherren,"Düsseldorf, Landes- und Staatsbibliothek",Orationale,nach 1534,"St. Agatha (bei Cuijk),
Kreuzherrenkonvent; 
später Marienfrede, Kreuzherrenkonvent","106v–109v: I, 19e",,–,http://www.manuscripta-mediaevalia.de/#|6,–,–,,,5.91710,51.71320
lt41b,"Düsseldorf, Landes- und Staatsbibliothek, Ms. C 67",1605,Kreuzherren,"Düsseldorf, Landes- und Staatsbibliothek",Orationale,17. Jh.,"St. Agatha (bei Cuijk),
Kreuzherrenkonvent; 
später Marienfrede, Kreuzherrenkonvent","106v–109v: I, 19e",,–,http://www.manuscripta-mediaevalia.de/#|6,–,–,,,6.59160,51.77170
lt42,"Düsseldorf, Landes- und Staatsbibliothek, Ms. C 89",1560,Zisterzienser,"Düsseldorf, Landes- und Staatsbibliothek",lat.-dt. Gebetbuch,um 1566,"Brabant, Zisterzienserinnen","161r–163r: I, 19e",,http://www.handschriftencensus.de/12759,https://digital.ub.uni-duesseldorf.de/ihd/content/pageview/4041885,–,–,,50.00,5.14000,51.58970
lt43,"Ebstorf, Klosterbibliothek, Mss. IV, 4",1515,Benediktiner,"Ebstorf, Klosterbibliothek",lat.-dt. Gebetbuch,1. Viertel 16. Jh.,"Ebstorf, Benediktinerinnen","157r: I, 34c (?)
172r: I, 19e
356av: Exzerpt 
",,http://www.handschriftencensus.de/5622,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0441_c005_jpg.htm,–,–,,,10.41210,53.03030
lt44,"Ebstorf, Klosterbibliothek, Mss. IV, 5",1505,Benediktiner,"Ebstorf, Klosterbibliothek",lat.-dt. Gebetbuch,um 1500,"Ebstorf, Benediktinerinnen","185r: I, 19e",,http://www.handschriftencensus.de/5623,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0441_c021_jpg.htm,–,–,,,10.41210,53.03030
lt45,"Ebstorf, Klosterbibliothek, Mss. IV, 13",1530,Zisterzienser,"Ebstorf, Klosterbibliothek",lat.-dt. Gebetbuch,1. Hälfte 16. Jh.,"evtl. Wienhausen, 
Zisterzienserinnen","265v: I, 19e",,http://www.handschriftencensus.de/3181,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0441_c060_jpg.htm,–,–,,,10.18530,52.58090
lt46,"Ebstorf, Klosterbibliothek, Mss. IV, 15",1480,Zisterzienser,"Ebstorf, Klosterbibliothek",lat.-dt. Gebetbuch,3. Viertel 15. Jh.,"evtl. Wienhausen, 
Zisterzienserinnen","27r: I, 19e",,http://www.handschriftencensus.de/10698,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0441_c072_jpg.htm,–,–,,,10.18530,52.58090
lt47,"Ebstorf, Klosterbibliothek, Mss. IV, 17",1440,Benediktiner,"Ebstorf, Klosterbibliothek",lat.-dt. Gebetbuch,2. Viertel 15. Jh.,"Ebstorf, Benediktinerinnen","12v: I, 19e
124r: I, 19e",,http://www.handschriftencensus.de/10699,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0441_c083_jpg.htm,–,–,,,10.41210,53.03030
lt132,"Eichstätt, Universitätsbibliothek, Cod. sm 98",1490,Benediktiner,"Eichstätt, Universitätsbibliothek",Gebet- und Andachtsbuch (lat.-dt.),1490,"Benediktinerkloster, Bayern (evtl. St. Emmeram, Regensburg?)",73r–123v: Exzerptkompilation aus dem Liber,Vorbesitzer: Kloster Scheyern (dort mit zwei Inkunabeln zusammengebunden),https://handschriftencensus.de/26589,https://edoc.ku.de/id/eprint/29584/1/Buttinger2022_KatalogdermittelalterlichenSeminarhandschriften%28ausCod.sm2-Cod.sm537%29_UBEichstaett-Ingolstadt.pdf,–,,,,12.09380,49.01610
lt48,"Eisleben, Stiftung Luthergedenkstätten, H 546",1360,Kartäuser,"Eisleben, Stiftung Luthergedenkstätten",–,1361,"Kartause Erfurt (gibt es aber erst 
seit 1372, dann aber dort 
im Besitz)",–,,,"vgl. Nemes (2010), S. 225-230.",–,–,,,11.02680,50.96980
lt49,"Erlangen, Universitätsbibliothek, Ms. 338",1320,Zisterzienser,"Erlangen, Universitätsbibliothek","‚Komplett‘, mit Register",nach 1320,"Heilsbronn, Zisterzienser","I, 1-V, 32","Eintrag (289v): ""Liber iste Sancte dei genitricis Marie 
in Monasterio fontissalutis""
(Heilsbronn) est“ (15. Jh.)",–,–,–,,,,10.79210,49.33840
lt50,"Erlangen, Universitätsbibliothek, Ms. 339",1450,Zisterzienser,"Erlangen, Universitätsbibliothek",‚Komplett‘ mit Register,ca. Mitte 14. Jh.,"Heilsbronn, Zisterzienser","I, 1-V, 32 (im Vergleich zu Ms. 338 jedoch in Buch II und 
V je ein Kapitel mehr)","Eintrag (289v): ""Iste liber est
Marie virginis in fonte salutis""
 (14. Jh.)
„Liber Beatissime virginis 
Marie in Halsprunn“ (15. Jh.)",–,–,–,,,,10.79210,49.33840
lt51a,"Frankfurt, Universitätsbibliothek, Ms. Praed. 169",1490,Zisterzienser,"Frankfurt, Universitätsbibliothek",Dt.-lat. Gebetbuch,um 1490,"Nonnenkloster am Niederrhein 
(wsl. Zisterzienserinnen?); 
später Frankfurt, Dominikaner","94v–96v: I,47 (md.); 317r-318r: I, 5d, b (lat.)","Illuminationen und Verzierungen im 
Gebetszyklus; auch Zeichnungen von 
Wundmalen mit Gebeten",http://handschriftencensus.de/15062,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0017_b372_jpg.htm,http://nbn-resolving.de/urn:nbn:de:hebis:30:2-43909,,,40.00,7.60210,50.31180
lt51b,"Frankfurt, Universitätsbibliothek, Ms. Praed. 169",1551,Dominikaner,"Frankfurt, Universitätsbibliothek",Dt.-lat. Gebetbuch,um 1490,"Nonnenkloster am Niederrhein 
(wsl. Zisterzienserinnen?); 
später Frankfurt, Dominikaner","94v–96v: I,47 (md.); 317r-318r: I, 5d, b (lat.)","Illuminationen und Verzierungen im 
Gebetszyklus; auch Zeichnungen von 
Wundmalen mit Gebeten",http://handschriftencensus.de/15062,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0017_b372_jpg.htm,http://nbn-resolving.de/urn:nbn:de:hebis:30:2-43909,,,,8.68750,50.11230
lt52,"Fribourg, Franziskanerkloster, Cod. 144",1475,Unbekannt,"Fribourg, Bibliothèque des Cordeliers",Gebetbuch,2. Hälfte 15. Jahrhundert,"Süddeutschland, evtl. Salzburg (?)","25r: IV, 56 (Teil)",Gebet Birgitta zugeschrieben,–,"Leisibach, Joseph: Die liturgischen Handschriften des Kantons Freiburg, Teil II Freiburg 1977, S. 123-128.",–,,,100.00,13.04040,47.79940
lt53,"Gießen, Universitätsbibliothek, Hs. 786",1480,Sonstiges,"Gießen, Universitätsbibliothek",Aszetische Sammelhandschrift,2. Viertel 15. Jh. (ca. 1488),"Butzbach, St. Markus, Fraterherrenstift","273r: III, 29",,–,http://geb.uni-giessen.de/geb/volltexte/2004/1833/pdf/OttJoachim-Handschriftenkatalog.pdf,–,–,,,8.67370,50.43510
lt54,"Gießen, Universitätsbibliothek, Hs. 817",1420,Sonstiges,"Gießen, Universitätsbibliothek",Theologische Sammelhandschrift,1. Viertel 15. Jh.,"Butzbach, St. Markus, Fraterherrenstift","64r-v: III, 5",,–,http://geb.uni-giessen.de/geb/volltexte/2004/1833/pdf/OttJoachim-Handschriftenkatalog.pdf,–,–,,,8.67370,50.43500
lt55,"Gotha, Forschungsbibliothek der Universität Erfurt, Cod. Chart. B 1766",1405,Unbekannt,"Gotha, Forschungsbibliothek der Universität Erfurt",‚komplett‘,15. Jh.,–,laut der Edition 1877 ‚komplett‘ (I-V?),Laut Zieger verschollen,–,–,–,,,200.00,10.48500,51.20860
lt56,"Göttingen, Universitätsbibliothek, 8° Ms. theol. 121",1405,Unbekannt,"Göttingen, Staats- und Universitätsbibliothek","Sammelhandschrift; theol. Texte, Gerson, 
Bonaventura, Thomas von Kempen etc.",15. Jh.,Frankreich (?),"92v: IV, 59b-d; II, 12",,–,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0491_c046_jpg.htm,–,–,,500.00,2.74920,47.00750
lt57,"Göttingen, Universitätsbibliothek, 8° Ms. theol. 233",1405,Unbekannt,"Göttingen, Staats- und Universitätsbibliothek","Gebetbuch mit Gebeten und Meditationen, 
vereinzelt nd.",15. Jh.,Niederdeutschland,"368v-370v: I, 26a, b
375r-376r: I, 47, 11
394r-v: I, 26b
466r: I, 23","Im Anschluss an den letzten TB Mechhtild 
zugeschriebenes Gebet; Gebete nach dem 
Jahreskreis geordnet; wohl (in)direkte 
Abschrift von Göttingen, UB, 8° Ms. theol. 291",http://handschriftencensus.de/19145;,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0718_b443_jpg.htm,–,,,175.00,10.11500,52.62930
